Code ISO,Nom en français
DE,Allemand
EN,Anglais
EN-US,Anglais - États-Unis
EN-GB,Anglais - Royaume-Uni
AR,Arabe
BG,Bulgare
ZH,Chinois (simplifié)
ZH-HANS,Chinois simplifié
ZH-HANT,Chinois traditionnel
KO,Coréen
HR,Croate
DA,Danois
ES,Espagnol
ES-419,Espagnol - Amérique latine
ET,Estonien
FI,Finnois
FR,Français
EL,Grec
HU,Hongrois
ID,Indonésien
IT,Italien
JA,Japonais
LV,Letton
LT,Lituanien
MS,Malais
NL,Néerlandais
NO,Norvégien (Bokmål)
PL,Polonais
PT,Portugais
PT-BR,Portugais - Brésil
PT-PT,Portugais - Portugal
RO,Roumain
RU,Russe
SK,Slovaque
SL,Slovène
SV,Suédois
CS,Tchèque
TH,Thaï
TR,Turc
UK,Ukrainien
VI,Vietnamien
HE,Hébreu
HI,Hindi
ffff1111111
